dataset,run,gap,gap_seed,method,short_name,lead,far_preonset_pct,valid
IMS,3rd_test,0.05,104,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.05,104,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.05,104,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.05,104,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.05,104,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.05,105,RMS-Trend (kσ),rms_trend,4.666666666666667,0.0,True
IMS,3rd_test,0.05,105,3σ Rule (σ=3.0),three_sigma,29.666666666666668,0.0,True
IMS,3rd_test,0.05,105,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.05,105,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.05,105,Hotelling T²,hotelling_t2,315.85,4.6255506607929515,True
IMS,3rd_test,0.05,105,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.2,101,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.2,101,3σ Rule (σ=3.0),three_sigma,29.666666666666668,0.0,True
IMS,3rd_test,0.2,101,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.2,101,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.2,101,Hotelling T²,hotelling_t2,59.666666666666664,3.7444933920704844,True
IMS,3rd_test,0.2,101,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.2,102,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.2,102,3σ Rule (σ=3.0),three_sigma,35.5,0.0,True
IMS,3rd_test,0.2,102,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.2,102,"CUSUM (k=0.5, h=5.0)",cusum,25.5,0.0,True
IMS,3rd_test,0.2,102,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.2,102,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.2,103,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.2,103,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.2,103,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.2,103,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.2,103,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.2,103,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.2,104,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.2,104,3σ Rule (σ=3.0),three_sigma,29.666666666666668,0.0,True
IMS,3rd_test,0.2,104,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.2,104,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.2,104,Hotelling T²,hotelling_t2,59.666666666666664,4.185022026431718,True
IMS,3rd_test,0.2,104,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.2,105,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.2,105,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.2,105,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.2,105,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.2,105,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.2,105,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
XJTU-SY,Bearing1_1,0.0,-1,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.0,-1,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.0,-1,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
