timestamp,hours_from_start,health_indicator
2023-11-08 23:53:41,12.486389,-0.360923
2023-11-08 23:53:51,12.489167,-0.335079
2023-11-08 23:54:00,12.491667,-0.335079
2023-11-08 23:54:10,12.494444,-0.696889
2023-11-08 23:54:21,12.4975,-0.696889
2023-11-08 23:54:30,12.5,-0.826106
2023-11-08 23:54:40,12.502778,-0.774419
2023-11-08 23:54:51,12.505833,-0.671045
2023-11-08 23:55:01,12.508611,-0.593515
2023-11-08 23:55:10,12.511111,-0.826106
2023-11-08 23:55:20,12.513889,-0.722732
2023-11-08 23:55:31,12.516944,-0.593515
2023-11-08 23:55:41,12.519722,-0.49014
2023-11-08 23:55:50,12.522222,-0.541827
2023-11-08 23:56:01,12.525278,-0.180018
2023-11-08 23:56:11,12.528056,-0.41261
2023-11-08 23:56:20,12.530556,-0.335079
2023-11-08 23:56:30,12.533333,-0.49014
2023-11-08 23:56:41,12.536389,-0.386766
2023-11-08 23:56:51,12.539167,-0.231705
2023-11-08 23:57:00,12.541667,-0.360923
2023-11-08 23:57:11,12.544722,-0.360923
2023-11-08 23:57:21,12.5475,-0.567671
2023-11-08 23:57:30,12.55,-0.49014
2023-11-08 23:57:40,12.552778,-0.335079
2023-11-08 23:57:51,12.555833,-0.102487
2023-11-08 23:58:01,12.558611,-0.41261
2023-11-08 23:58:10,12.561111,-0.309236
2023-11-08 23:58:20,12.563889,-0.283392
2023-11-08 23:58:31,12.566944,-0.180018
2023-11-08 23:58:40,12.569444,-0.386766
2023-11-08 23:58:50,12.572222,-0.257549
2023-11-08 23:59:01,12.575278,-0.335079
2023-11-08 23:59:11,12.578056,-0.0508
2023-11-08 23:59:20,12.580556,-0.0508
2023-11-08 23:59:30,12.583333,-0.180018
2023-11-08 23:59:41,12.586389,-0.180018
2023-11-08 23:59:50,12.588889,0.02673
2023-11-09 00:00:01,12.591944,0.000887
2023-11-09 00:00:11,12.594722,-0.102487
2023-11-09 00:00:21,12.5975,0.000887
2023-11-09 00:00:30,12.6,-0.0508
2023-11-09 00:00:40,12.602778,0.104261
2023-11-09 00:00:51,12.605833,0.000887
2023-11-09 00:01:00,12.608333,0.000887
2023-11-09 00:01:10,12.611111,-0.128331
2023-11-09 00:01:21,12.614167,-0.309236
2023-11-09 00:01:31,12.616944,-0.360923
2023-11-09 00:01:40,12.619444,-0.154174
2023-11-09 00:01:50,12.622222,-0.231705
2023-11-09 00:02:01,12.625278,-0.180018
2023-11-09 00:02:11,12.628056,-0.076644
2023-11-09 00:02:20,12.630556,-0.180018
2023-11-09 00:02:31,12.633611,0.000887
2023-11-09 00:02:41,12.636389,-0.154174
2023-11-09 00:02:50,12.638889,-0.205862
2023-11-09 00:03:00,12.641667,-0.076644
2023-11-09 00:03:11,12.644722,-0.0508
2023-11-09 00:03:21,12.6475,-0.128331
2023-11-09 00:03:30,12.65,-0.128331
2023-11-09 00:03:41,12.653056,-0.360923
2023-11-09 00:03:51,12.655833,-0.154174
2023-11-09 00:04:00,12.658333,-0.541827
2023-11-09 00:04:10,12.661111,-0.515984
2023-11-09 00:04:21,12.664167,-0.41261
2023-11-09 00:04:31,12.666944,-0.231705
2023-11-09 00:04:40,12.669444,-0.180018
