dataset,run,factor,group,n_features,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,3rd_test,5,spectral_only,30,3σ Rule (σ=3.0),three_sigma,43.53333333333333,0.0,True
IMS,3rd_test,5,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,43.53333333333333,0.0,True
IMS,3rd_test,5,spectral_only,30,Isolation Forest,isolation_forest,31.033333333333335,0.0,True
IMS,3rd_test,5,all,50,3σ Rule (σ=3.0),three_sigma,43.53333333333333,0.0,True
IMS,3rd_test,5,all,50,"EWMA (λ=0.2, k=3.0)",ewma,43.53333333333333,0.0,True
IMS,3rd_test,5,all,50,Isolation Forest,isolation_forest,31.033333333333335,0.0,True
IMS,3rd_test,10,rms_only,5,3σ Rule (σ=3.0),three_sigma,72.7,2.272727272727273,True
IMS,3rd_test,10,rms_only,5,"EWMA (λ=0.2, k=3.0)",ewma,57.7,0.0,True
IMS,3rd_test,10,rms_only,5,Isolation Forest,isolation_forest,72.7,2.272727272727273,True
IMS,3rd_test,10,time_only,20,3σ Rule (σ=3.0),three_sigma,72.7,2.272727272727273,True
IMS,3rd_test,10,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,57.7,0.0,True
IMS,3rd_test,10,time_only,20,Isolation Forest,isolation_forest,41.03333333333333,0.0,True
IMS,3rd_test,10,spectral_only,30,3σ Rule (σ=3.0),three_sigma,57.7,0.0,True
IMS,3rd_test,10,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,10,spectral_only,30,Isolation Forest,isolation_forest,32.7,0.0,True
IMS,3rd_test,10,all,50,3σ Rule (σ=3.0),three_sigma,72.7,2.272727272727273,True
IMS,3rd_test,10,all,50,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,10,all,50,Isolation Forest,isolation_forest,32.7,0.0,True
IMS,3rd_test,20,rms_only,4,3σ Rule (σ=3.0),three_sigma,66.03333333333333,4.3478260869565215,True
IMS,3rd_test,20,rms_only,4,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,20,rms_only,4,Isolation Forest,isolation_forest,49.36666666666667,0.0,True
IMS,3rd_test,20,time_only,20,3σ Rule (σ=3.0),three_sigma,66.03333333333333,4.3478260869565215,True
IMS,3rd_test,20,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,20,time_only,20,Isolation Forest,isolation_forest,49.36666666666667,0.0,True
IMS,3rd_test,20,spectral_only,30,3σ Rule (σ=3.0),three_sigma,49.36666666666667,0.0,True
IMS,3rd_test,20,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,20,spectral_only,30,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,3rd_test,20,all,50,3σ Rule (σ=3.0),three_sigma,66.03333333333333,4.3478260869565215,True
IMS,3rd_test,20,all,50,"EWMA (λ=0.2, k=3.0)",ewma,49.36666666666667,0.0,True
IMS,3rd_test,20,all,50,Isolation Forest,isolation_forest,0.0,0.0,False
