dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,indicator,median_shift_vs_rms_kurt_h,sign_pattern
XJTU-SY,rms_trend,RMS-Trend (kσ),raw,10,10,0,"+0.0000, +0.0000, +0.0500, -0.1667, +0.0000, +0.0000, +0.0000, +0.0333, +0.0000, -0.0667",0.0,2,2,6,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/6=
XJTU-SY,tcn,TCN-Autoencoder,raw,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/3=
XJTU-SY,three_sigma,3σ Rule (σ=3.0),raw,10,10,0,"+0.0000, +0.0333, +0.0000, +0.1533, +0.0000, +0.1167, -0.0033, +0.0000, +0.0000, +0.0000",0.0,3,1,6,4,0.125,0.625,False,1.0,False,44.0,rms_kurt,0.0,3+/1-/6=
XJTU-SY,transformer_ad,Transformer-AD,raw,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/3=
FEMTO,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,6,6,0,"+0.1483, +0.0511, +0.0000, +0.0000, -0.0050, -0.0111",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/2=
FEMTO,deep_svdd,Deep SVDD,gated_D7,6,6,0,"-0.0078, +0.0011, -0.0361, -0.0078, +0.0200, +0.0078",-0.0033333333333333288,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
FEMTO,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,6,6,0,"+0.0383, +0.2017, +0.0000, +0.0000, -0.0050, -0.0111",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/2=
FEMTO,hotelling_t2,Hotelling T²,gated_D7,6,6,0,"+0.0000, +0.1328, +0.0000, +0.0000, -0.0328, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/4=
FEMTO,isolation_forest,Isolation Forest,gated_D7,6,6,0,"+0.2000, +0.0733, +0.0000, +0.0000, -0.0050, -0.1156",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/2=
FEMTO,lstm_ae,LSTM-Autoencoder,gated_D7,6,6,0,"+0.0000, +0.0347, +0.0000, +0.0000, -0.0106, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/4=
FEMTO,one_class_svm,One-Class SVM (nu=0.05),gated_D7,6,6,0,"-0.2167, +0.0000, +0.0000, +0.0000, +0.0000, -0.1133",0.0,0,2,4,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,0+/2-/4=
FEMTO,rms_trend,RMS-Trend (kσ),gated_D7,6,6,0,"-0.1067, +0.0011, -0.0567, -0.0078, +0.0017, -0.1050",-0.03222222222222222,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,2+/4-/0=
FEMTO,tcn,TCN-Autoencoder,gated_D7,6,6,0,"+0.0000, +0.0000, +0.0000, +0.0000, -0.0083, +0.0000",0.0,0,1,5,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/5=
FEMTO,three_sigma,3σ Rule (σ=3.0),gated_D7,6,6,0,"+0.0100, +0.0200, +0.0000, +0.0000, -0.0239, +0.1467",0.004999999999999977,3,1,2,4,0.125,0.625,False,1.0,False,44.0,rms_kurt,0.0,3+/1-/2=
FEMTO,transformer_ad,Transformer-AD,gated_D7,6,6,0,"+0.0000, +0.0451, +0.0000, +0.0000, -0.0106, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/4=
