dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,persistence,schema
IMS,1st_test,42,Hotelling T²,hotelling_t2,decimate,5,250.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,189.79888888888888,,73.52941176470588,14.733396584440229,189.79888888888888,0.0,False,35,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Isolation Forest,isolation_forest,decimate,5,250.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,127.8488888888889,,61.76470588235294,9.924443677764362,127.8488888888889,0.0,False,35,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,92.06555555555556,,22.22222222222222,7.146713817491807,92.06555555555556,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,92.06555555555556,,27.77777777777778,7.146713817491807,92.06555555555556,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,50.0,7.793600138002415,100.39888888888889,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,50.0,7.793600138002415,100.39888888888889,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Hotelling T²,hotelling_t2,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,153.89888888888888,,72.22222222222221,11.946610315680523,153.89888888888888,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Isolation Forest,isolation_forest,decimate,10,500.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,113.26555555555555,,44.44444444444444,8.792392616870796,113.26555555555555,0.0,False,18,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,64.39888888888889,,11.11111111111111,4.999051233396584,64.39888888888889,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,55.55555555555556,7.793600138002415,100.39888888888889,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,55.55555555555556,7.793600138002415,100.39888888888889,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,55.55555555555556,7.793600138002415,100.39888888888889,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Hotelling T²,hotelling_t2,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,177.29888888888888,,88.88888888888889,13.763067103674315,177.29888888888888,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Isolation Forest,isolation_forest,decimate,20,1160.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,100.39888888888889,,44.44444444444444,7.793600138002415,100.39888888888889,0.0,False,9,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,2.1666666666666665,60.333333333333336,0.0,0.034666666666666665,2.1666666666666665,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,53.0,9.5,0.0,0.848,53.0,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,aggregate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,0.0,0.021333333333333333,1.3333333333333333,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,62.166666666666664,0.3333333333333333,0.0,0.9946666666666666,0.0,33.33333333333333,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,53.833333333333336,8.666666666666666,0.0,0.8613333333333334,53.833333333333336,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,62.166666666666664,0.3333333333333333,0.0,0.9946666666666666,0.0,33.33333333333333,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,aggregate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,0.0,0.021333333333333333,1.3333333333333333,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,59.666666666666664,2.8333333333333335,0.0,0.9546666666666667,59.666666666666664,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,59.666666666666664,2.8333333333333335,0.0,0.9546666666666667,59.666666666666664,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,aggregate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,47.166666666666664,15.333333333333334,0.0,0.7546666666666666,47.166666666666664,0.0,True,16,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,,0.021333333333333333,1.3333333333333333,0.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,,0.888,0.0,100.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,,0.888,0.0,100.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,,0.888,0.0,100.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,,0.888,0.0,100.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,aggregate,10,500.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,,0.888,0.0,100.0,True,8,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,,0.021333333333333333,1.3333333333333333,0.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,47.166666666666664,15.333333333333334,,0.7546666666666666,0.0,100.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,47.166666666666664,15.333333333333334,,0.7546666666666666,0.0,100.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,47.166666666666664,15.333333333333334,,0.7546666666666666,0.0,100.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,47.166666666666664,15.333333333333334,,0.7546666666666666,0.0,100.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,aggregate,20,1000.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,,0.021333333333333333,1.3333333333333333,0.0,True,4,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,2.1666666666666665,60.333333333333336,0.0,0.034666666666666665,2.1666666666666665,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,55.5,7.0,0.0,0.888,55.5,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,53.0,9.5,0.0,0.848,53.0,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,decimate,1,50.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,78,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,1.3333333333333333,61.166666666666664,0.0,0.021333333333333333,1.3333333333333333,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,3σ Rule (σ=3.0),three_sigma,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,53.0,9.5,0.0,0.848,53.0,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,49.666666666666664,12.833333333333334,0.0,0.7946666666666666,49.666666666666664,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Hotelling T²,hotelling_t2,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,56.333333333333336,6.166666666666667,0.0,0.9013333333333333,56.333333333333336,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,Isolation Forest,isolation_forest,decimate,2,100.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,49.666666666666664,12.833333333333334,0.0,0.7946666666666666,49.666666666666664,0.0,True,40,10,1,False,True,terminal,1,invariant
IMS,2nd_test,42,RMS-Trend (kσ),rms_trend,decimate,5,250.0,2004-02-16 15:52:00,2004-02-19 06:22:00,62.5,8.833333333333334,53.666666666666664,0.0,0.14133333333333334,8.833333333333334,0.0,True,16,10,1,False,True,terminal,1,invariant
