dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
FEMTO,deep_svdd,Deep SVDD,gated_D7,6,6,0,"-0.0167, +0.0000, -0.0361, +0.0000, -0.0078, +0.0089",-0.0038888888888888827,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,6,6,0,"+0.1422, +0.0150, +0.0000, +0.0000, +0.0000, +0.1972",0.0075,3,0,3,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,hotelling_t2,Hotelling T²,gated_D7,6,6,0,"+0.0000, +0.1328, +0.0000, +0.0000, -0.0183, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,isolation_forest,Isolation Forest,gated_D7,6,6,0,"+0.5200, +0.2500, +0.0000, +0.0000, +0.0111, +0.2350",0.12305555555555556,4,0,2,4,0.125,0.125,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,lstm_ae,LSTM-Autoencoder,gated_D7,6,6,0,"+0.0000, +0.3049, +0.0000, +0.0000, +0.0074, +0.0000",0.0,2,0,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,one_class_svm,One-Class SVM (nu=0.05),gated_D7,6,6,0,"-0.2167, +0.0000, +0.0000, +0.0000, +0.0000, -0.1133",0.0,0,2,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,rms_trend,RMS-Trend (kσ),gated_D7,6,6,0,"-0.1083, +0.0000, -0.0444, +0.0061, +0.0000, -0.0961",-0.022222222222222227,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,tcn,TCN-Autoencoder,gated_D7,6,6,0,"+0.0000, +0.0000, +0.0000, +0.0000, -0.0241, +0.0000",0.0,0,1,5,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,three_sigma,3σ Rule (σ=3.0),gated_D7,6,6,0,"-0.0000, +0.0667, +0.0000, +0.0000, -0.0189, +0.2411",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,transformer_ad,Transformer-AD,gated_D7,6,6,0,"+0.0000, +0.0674, +0.0000, +0.0000, -0.0241, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,6,5,1,"+0.0083, +0.0069, -0.0244, -0.0181, -0.0931",-0.018055555555555547,2,3,0,5,0.0625,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,deep_svdd,Deep SVDD,gated_D7,6,5,1,"+0.0042, -0.0239, +0.0000, -0.0014, -0.0044",-0.001388888888888884,1,3,1,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,6,5,1,"-1.1322, +0.0067, -0.0231, -0.0253, -0.0978",-0.025277777777777788,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,hotelling_t2,Hotelling T²,gated_D7,6,5,1,"-0.7417, +0.1681, +0.0000, -0.2889, +0.0000",0.0,1,2,2,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
