table,dataset,short_name,field,published,dp,arm,computed,match
tab:holm,XJTU-SY,isolation_forest,sign_test_p,0.18,3,A: as printed (IMS legacy file),0.1796875,True
tab:holm,XJTU-SY,isolation_forest,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,hotelling_t2,sign_test_p,0.5,3,A: as printed (IMS legacy file),0.5,True
tab:holm,XJTU-SY,hotelling_t2,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,cusum,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,cusum,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,ewma,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,deep_svdd,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,deep_svdd,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,lstm_ae,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,lstm_ae,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,tcn,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,tcn,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,transformer_ad,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,transformer_ad,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,rms_trend,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,XJTU-SY,rms_trend,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,three_sigma,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:holm,FEMTO,three_sigma,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,ewma,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,cusum,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,cusum,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,hotelling_t2,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:holm,FEMTO,hotelling_t2,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,isolation_forest,sign_test_p,0.031,3,A: as printed (IMS legacy file),0.03125,True
tab:holm,FEMTO,isolation_forest,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,deep_svdd,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,deep_svdd,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,lstm_ae,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,FEMTO,lstm_ae,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,tcn,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,tcn,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,transformer_ad,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
